sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
6287,786,966,1116,1288,1589,1711,1772,1780,1975,1876, sehar
6288,859,1066,1258,1288,1589,1711,1884,1780,1975,1876, sehar
6289,776,957,1148,1253,1583,1852,1815,1875,1935,1759, sehar
6290,608,750,719,946,2110,2712,2724,2864,1475,1020, sehar
6291,767,897,1010,1075,1333,1395,1704,1526,1710,1667, sehar
6292,719,895,940,1122,1736,2004,2250,2124,1575,1323, sehar
6293,672,836,919,1098,1487,1710,1502,1711,1653,1516, sehar
6294,709,915,1004,1125,1320,1538,1580,1584,1764,1689, sehar
6295,776,915,1024,1288,1589,1711,1642,1780,1975,1876, sehar
6296,732,841,936,1125,1320,1538,1558,1584,1764,1689, sehar
6297,776,915,1024,1288,1589,1711,1642,1780,1975,1876, sehar
6298,786,966,1116,1288,1589,1711,1772,1780,1975,1876, sehar
6299,621,815,836,909,1916,2377,2489,2594,1629,1260, sehar
6300,786,990,1176,1253,1583,1852,1954,1875,1935,1759, sehar
6301,685,932,919,1208,2005,2286,2420,2472,1614,1090, sehar
6302,726,974,999,1275,1951,2223,2344,2354,1834,1367, sehar
